Time,Displacement,Force
(s),(mm),(mN)
"3.7400","0.3650","30.9518"
"3.7500","0.3660","31.3518"
"3.7600","0.3669","31.3547"
"3.7700","0.3678","31.3507"
"3.7800","0.3687","31.1260"
"3.7900","0.3696","30.6786"
"3.8000","0.3705","30.2438"
"3.8100","0.3714","30.5412"
"3.8200","0.3723","30.9778"
"3.8300","0.3732","31.0100"
"3.8400","0.3741","30.5785"
"3.8500","0.3750","30.5795"
"3.8600","0.3760","31.4501"
"3.8700","0.3769","32.4911"
"3.8800","0.3778","32.7844"
"3.8900","0.3788","32.3626"
"3.9000","0.3798","31.8846"
"3.9100","0.3809","31.1999"
"3.9200","0.3820","30.6419"
"3.9300","0.3830","30.6916"
"3.9400","0.3841","31.4376"
"3.9500","0.3852","32.3356"
"3.9600","0.3863","32.9183"
"3.9700","0.3874","32.9972"
"3.9800","0.3885","33.0011"
"3.9900","0.3896","32.8402"
"4.0000","0.3906","32.6997"
"4.0100","0.3917","32.4788"
"4.0200","0.3927","32.2104"
"4.0300","0.3937","32.0170"
"4.0400","0.3947","32.1208"
"4.0500","0.3957","32.6356"
"4.0600","0.3967","33.1499"
"4.0700","0.3977","33.6107"
"4.0800","0.3986","33.6360"
"4.0900","0.3996","33.6511"
"4.1000","0.4005","33.4998"
"4.1100","0.4015","33.2003"
"4.1200","0.4024","32.7481"
"4.1300","0.4034","32.8483"
"4.1400","0.4043","33.2505"
"4.1500","0.4052","33.5262"
"4.1600","0.4061","33.5706"
"4.1700","0.4070","33.5513"
"4.1800","0.4079","33.8668"
"4.1900","0.4089","34.2483"
"4.2000","0.4099","34.5742"
"4.2100","0.4110","34.6174"
"4.2200","0.4121","34.7310"
"4.2300","0.4132","34.4180"
"4.2400","0.4142","34.3461"
"4.2500","0.4153","34.0438"
"4.2600","0.4163","33.6757"
"4.2700","0.4173","33.5815"
"4.2800","0.4183","34.1270"
"4.2900","0.4193","34.8820"
"4.3000","0.4203","35.2920"
"4.3100","0.4213","35.3418"
"4.3200","0.4223","35.2607"
"4.3300","0.4233","35.0114"
